school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Delaware State,66.9,93.5,0.29,0.332,0.502,48.2,46.9,8.7,8.2,0.471,19.4,30.2,0.201
Delaware,67,105,0.349,0.311,0.533,50.2,44.9,7.4,6.4,0.508,13.9,27.2,0.228
Denver,68.7,104.5,0.318,0.31,0.56,54.4,56.3,6.2,7.4,0.535,18.7,31.4,0.221
DePaul,71.2,100.6,0.294,0.327,0.512,51.7,56.8,9,9.2,0.479,16.5,32.9,0.208
Detroit Mercy,75.4,103.8,0.306,0.401,0.541,47.5,49.5,8.7,7.1,0.504,15.8,27.6,0.231
Drake,69.4,104,0.325,0.403,0.551,48.4,58.5,8.5,6.7,0.51,15.3,23.1,0.25
Drexel,70.1,104.4,0.324,0.351,0.533,49.9,43.2,7.5,10,0.498,15.1,30.7,0.234
Duke,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246
Duquesne,66.5,106.4,0.354,0.398,0.529,51.2,47.7,8.5,11.7,0.497,14.9,33,0.242
East Carolina,68.8,95.3,0.287,0.346,0.509,47.9,52.4,7.1,7.9,0.483,18,27.8,0.191
East Tennessee State,69.7,107.8,0.331,0.363,0.564,52.9,54,11.2,12.7,0.536,16.7,31.2,0.235
Eastern Illinois,66.4,99.9,0.319,0.363,0.519,49.9,53.6,8.8,13.1,0.489,17.3,30.3,0.218
Eastern Kentucky,70,102.4,0.337,0.359,0.54,48,52.1,8.9,9.9,0.501,16.3,27.1,0.252
Eastern Michigan,67.6,104.9,0.298,0.347,0.547,49.7,48.2,12.7,18.6,0.522,16.3,29.8,0.203
Eastern Washington,69.2,107.3,0.284,0.411,0.572,49.6,47,7.6,8.1,0.541,14.9,22.2,0.217
Elon,68,104.5,0.239,0.504,0.55,48.2,60.2,6.2,5.8,0.527,14.9,22.5,0.17
Evansville,65.9,99,0.35,0.271,0.543,50.8,57,9,9.5,0.498,18.3,24.3,0.271
Fairfield,72.1,103.3,0.309,0.444,0.544,48.3,55.3,8.7,7.6,0.514,15.4,24.5,0.22
Fairleigh Dickinson,71.8,104,0.307,0.334,0.54,48.3,49.4,9.9,8.7,0.508,16.6,30.8,0.223
Florida A&M,69.6,97.3,0.324,0.311,0.513,45.2,44.5,8.1,7.8,0.474,17.1,27.6,0.234
Florida Atlantic,70.9,97.6,0.278,0.286,0.493,50.6,47.6,8.2,10,0.456,15.3,29.2,0.205
Florida Gulf Coast,73.3,111,0.321,0.33,0.583,53.8,51.2,10,7.6,0.554,16.8,31.7,0.238
Florida International,69.8,99,0.368,0.331,0.503,47.8,46.4,10.6,9,0.479,13.6,25.5,0.224
Florida State,72.2,109.4,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,31.7,0.256
Florida,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234
Fordham,66.8,92.4,0.269,0.468,0.51,42.6,60.5,13.5,6.4,0.479,16.9,18.7,0.19
Fresno State,68.5,110.9,0.378,0.304,0.578,51.9,46.9,9.8,9.3,0.55,15.3,28.2,0.262
Furman,70.5,112.1,0.278,0.474,0.577,50.1,55.8,11.3,6,0.554,14.4,27.5,0.198
Gardner-Webb,69.1,100.6,0.284,0.365,0.538,50.7,50.5,8.7,8.5,0.508,17.2,26.8,0.204
George Mason,69.6,101.4,0.318,0.362,0.529,50.8,44.9,8.6,8,0.491,15.9,27.9,0.236
George Washington,66.3,101.8,0.289,0.301,0.526,50.8,52.9,8.6,13.1,0.495,16.5,31.7,0.205
Georgetown,71.7,106.2,0.383,0.351,0.564,53.3,65.3,7.4,9.8,0.518,18,31.1,0.297
Georgia Southern,70.5,107.2,0.396,0.394,0.529,49.5,38.9,9.7,10.4,0.497,13.6,31.1,0.263
Georgia State,68,108.7,0.303,0.413,0.562,47.7,48.6,10.6,15.1,0.54,14.5,25.6,0.205
Georgia Tech,66.5,98.4,0.348,0.277,0.509,50,54.3,10.3,14.3,0.469,16.6,30.8,0.248
Georgia,65.3,102.7,0.401,0.346,0.517,53.6,52.4,5.8,12.7,0.475,16.2,34.8,0.281
Gonzaga,69.8,118,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.4,0.227
Grambling,73.8,97.8,0.415,0.254,0.509,50.7,44,10.4,9.7,0.461,17.7,31.9,0.295
Grand Canyon,70.4,104.2,0.394,0.391,0.531,51.4,63.2,8.8,10.1,0.492,16,31.4,0.277
Green Bay,74.1,102.2,0.331,0.401,0.537,48.7,53.4,9.2,7.8,0.497,16.2,26.3,0.249
Hampton,75,105.2,0.335,0.289,0.537,50.9,53.4,7.1,8.9,0.492,14.9,29.6,0.26
Hartford,67.7,103.7,0.309,0.426,0.551,48.9,51.9,8.9,11.2,0.527,16,24.9,0.21
Harvard,66.5,100.6,0.288,0.411,0.541,52,53.1,8,11.4,0.503,18.1,26.7,0.224
Hawaii,68.9,100.5,0.411,0.376,0.54,50.8,59.4,8.1,5.7,0.504,17.1,26.7,0.282
High Point,67.1,105.1,0.348,0.27,0.54,51.6,45.5,11,8.5,0.507,16,31.7,0.244
Hofstra,70.3,112.6,0.367,0.371,0.562,51.4,47.6,7.1,7,0.534,13.2,30.8,0.251
Holy Cross,63.7,99,0.296,0.397,0.551,45,58.1,9.7,11.4,0.526,17.6,19.3,0.205
Houston Baptist,75.6,100.8,0.345,0.329,0.497,50.9,50.2,8.7,7.5,0.471,15.5,35.3,0.215
Houston,68.5,111.9,0.326,0.372,0.563,54.6,53,9.1,9,0.533,14.9,33.4,0.234
Howard,71.3,102.1,0.345,0.387,0.527,46.8,48.1,7.4,7.3,0.491,16,29.3,0.244
Idaho State,70.9,104,0.362,0.389,0.575,48,45.5,7.9,6.1,0.552,17.5,21.1,0.246
Idaho,68,110.1,0.323,0.388,0.577,54.8,56,6.4,7.8,0.547,16.9,31.3,0.237
Illinois-Chicago,73.6,101.8,0.363,0.33,0.546,50.9,47.4,9.2,16.1,0.507,18,28.7,0.267
Illinois State,69.4,101,0.334,0.461,0.532,47.6,57.6,9.2,11.2,0.503,16.5,25.8,0.228
Illinois,70.8,105.8,0.335,0.362,0.537,49.8,51.6,10.5,6.3,0.5,15.8,34.1,0.245
Incarnate Word,72.5,97.4,0.402,0.315,0.53,47.6,46.3,8.3,12.3,0.481,19.2,28.2,0.3
Indiana State,70.1,100.6,0.357,0.415,0.533,51.1,47.2,10.4,9.7,0.498,17.4,28.1,0.252
Indiana,67.5,105.2,0.364,0.341,0.538,51,54,9.4,12.1,0.511,15.7,31.8,0.239
Iona,71.5,109.1,0.302,0.408,0.569,47.2,56.6,9.2,7.6,0.539,14.3,24.3,0.223
Iowa State,69.6,103.9,0.298,0.349,0.529,49.5,51.8,6.9,11.1,0.499,14.7,29.6,0.209
Iowa,71,111.4,0.354,0.34,0.57,53.5,63.6,7.3,10.3,0.543,16,34.1,0.246
Purdue-Fort Wayne,74.6,109.9,0.315,0.446,0.57,49.6,50.8,10.7,8.8,0.541,14.1,26.1,0.227
IUPUI,68.7,98.9,0.324,0.348,0.515,50,52.7,9.9,10.2,0.486,17.7,31.7,0.216
Jackson State,65.4,94,0.259,0.377,0.462,47.5,49,11.1,8.8,0.434,14.6,31,0.169
Jacksonville State,67.9,105.1,0.314,0.311,0.538,54,56.8,8.9,14.9,0.507,16.3,32.8,0.224
Jacksonville,72.4,98.8,0.312,0.302,0.525,49.2,46.3,9.3,8.9,0.501,17.1,27.3,0.205
James Madison,69.4,103,0.345,0.36,0.52,49.8,47.8,10,9.5,0.48,14.5,29.8,0.251
Kansas State,66.6,106.3,0.338,0.368,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.5,0.248
Kansas,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191
Kennesaw State,71.4,101.4,0.337,0.247,0.531,48.3,55.4,10,7.8,0.5,16.6,29.5,0.233
Kent State,70.3,103.2,0.325,0.382,0.525,50.5,45.1,8.4,9.7,0.487,15.7,31.7,0.237
Kentucky,69.8,109.6,0.44,0.258,0.555,53.6,49,8,13.7,0.518,15.8,35.3,0.307
La Salle,69,102.8,0.31,0.373,0.534,49.7,50.2,8.3,7.3,0.49,14.6,25.5,0.244
Lafayette,68.9,102.9,0.297,0.414,0.566,48.5,49.7,6.1,8.8,0.532,17.4,21.1,0.228
Lamar,71.1,105,0.374,0.37,0.524,51.4,51.4,11.8,6.4,0.494,15.3,32.7,0.245
Lehigh,71,107,0.26,0.391,0.563,49.9,51.3,8.4,5.1,0.532,15.5,25.4,0.202
Liberty,64.2,108.2,0.339,0.413,0.579,53.1,58,9,9.1,0.539,16.2,23.8,0.268
Lipscomb,77,105,0.405,0.399,0.557,52.2,56,8.4,8,0.518,16.9,28.3,0.291
Long Beach State,72.3,103.4,0.399,0.291,0.545,51.2,48.4,9.1,8.9,0.503,18,32.6,0.291
Long Island University,72.9,105.3,0.382,0.397,0.555,51,47.3,7.6,7.6,0.523,17,29.6,0.266
Longwood,69.7,90.8,0.335,0.392,0.511,46.2,44.9,9.5,9.1,0.477,20.2,23,0.23
Louisiana,72.7,114.1,0.37,0.391,0.575,54.7,60.9,10.3,11.1,0.535,15.6,36.1,0.282
Louisiana-Monroe,67.1,103.3,0.243,0.43,0.538,49.3,55,9.6,4.1,0.513,15.5,26.9,0.174
Louisiana State,69.4,111.3,0.326,0.402,0.575,49.4,51,11,9.7,0.545,14.7,29.2,0.238
Louisiana Tech,69.2,107.7,0.371,0.408,0.559,49.6,56.1,8.6,10.4,0.523,15.5,27.5,0.269
Louisville,69.7,106.9,0.319,0.352,0.552,49.7,50.5,9.9,15,0.518,14.7,28.6,0.235
Loyola (IL),66,108.4,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,21.8,0.231
Loyola Marymount,67.8,105.1,0.327,0.317,0.531,50.4,54.7,10.2,7.1,0.498,16.3,34.4,0.232
Loyola (MD),69.7,98.5,0.334,0.28,0.511,50.3,45.2,10,8.9,0.483,16.4,29.4,0.218
Maine,71.6,92.3,0.298,0.398,0.5,47.8,49.4,8.9,8.3,0.468,18.8,25.5,0.206
Manhattan,67.5,101,0.376,0.36,0.548,49.6,58.8,8.7,11.4,0.516,19.8,31,0.261
Marist,71.5,99.5,0.358,0.469,0.56,47.8,48.5,5.8,6.4,0.527,19.6,22.6,0.256
Marquette,70.4,114.3,0.288,0.444,0.601,49,55.7,8.6,9.6,0.568,15.4,27.5,0.232
Marshall,76.4,108.6,0.335,0.453,0.583,46.7,59,9.1,12.7,0.548,15.5,22.2,0.256
Maryland-Baltimore County,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8,0.198
Maryland-Eastern Shore,67.6,92.1,0.294,0.393,0.474,45.8,48.9,7,5,0.441,16.6,28.1,0.198
Maryland,66.6,109.4,0.38,0.364,0.584,53.6,55.7,6.5,11.6,0.546,17.9,31.6,0.287
Massachusetts-Lowell,72.1,105.3,0.401,0.361,0.558,47,55,9.7,7.2,0.523,16.5,26.7,0.284
Massachusetts,67.3,104.4,0.251,0.382,0.553,48.9,58.7,7,7.7,0.525,16.5,27.2,0.187
McNeese State,73.3,101.9,0.33,0.334,0.528,50.6,41.9,7.3,10.6,0.494,16.8,30.9,0.234
Memphis,66.3,105.3,0.436,0.346,0.545,51.1,53.5,8.8,11.3,0.507,17.4,35.1,0.301
Mercer,65.8,112.8,0.367,0.404,0.588,54.1,55.8,8,5.7,0.551,16.3,31.1,0.279
Miami (FL),67.8,107.9,0.291,0.36,0.551,50.6,48.5,9.6,11,0.531,14.6,29.1,0.192
Miami (OH),68.8,102.5,0.273,0.438,0.54,51.2,51.1,10.8,7,0.517,16.7,27.9,0.187
Michigan State,68.2,117.2,0.359,0.363,0.601,57.6,67.6,6,18.5,0.569,16.4,36.8,0.268
Michigan,65.9,110.8,0.307,0.433,0.564,50.3,53.6,9.6,8.1,0.545,12.4,24.9,0.203
Middle Tennessee,67.8,109.9,0.306,0.339,0.565,54.1,51.9,8.9,7.1,0.534,15.9,31.2,0.227
Milwaukee,67.6,100.6,0.282,0.376,0.532,50.8,51.4,8.7,10.7,0.508,16.3,25.5,0.19
Minnesota,70.2,105.8,0.351,0.32,0.523,50,54.9,8,12.7,0.487,13.3,29.9,0.247
Mississippi State,68.4,106.6,0.31,0.373,0.55,51.4,49.1,9.5,14.8,0.524,16.4,31.8,0.214
Mississippi Valley State,69.9,91.3,0.291,0.287,0.461,47.2,43.1,8.2,5.2,0.426,15.7,29.7,0.196
Mississippi,70.8,105.5,0.338,0.394,0.523,49.7,55.6,8.7,11.2,0.483,13.6,31.1,0.247
Missouri-Kansas City,72.4,96.8,0.344,0.455,0.52,44,46.8,8.7,6.7,0.483,16,21.7,0.245
Missouri State,66.2,105.4,0.27,0.362,0.525,54,49.9,7,11.2,0.496,14.8,33.2,0.193
Missouri,67.3,107.1,0.39,0.453,0.573,53.2,55.8,7.6,11.3,0.537,18.3,31.1,0.286
Monmouth,71,102.9,0.441,0.334,0.562,51,50.7,8.7,7.4,0.523,18.5,26.6,0.314
Montana State,72.1,104.2,0.387,0.379,0.533,50.1,49.1,7.5,5.6,0.49,14.9,29,0.281
Montana,70,108.7,0.386,0.272,0.549,53.3,45.3,10.9,9.2,0.513,15,33.1,0.273
Morehead State,70.6,99.3,0.358,0.381,0.528,51.4,48.3,8,8.8,0.492,19.1,32.5,0.251
Morgan State,71.4,101,0.394,0.254,0.508,51.3,49.4,9.9,8.1,0.461,16.3,34.7,0.286
Mount St. Mary's,67.1,107.3,0.299,0.48,0.574,43.3,55.5,10.2,10.7,0.546,14.7,20.4,0.219
Murray State,68.2,115.3,0.381,0.399,0.591,54.1,54.1,9.9,8.7,0.558,15.3,33,0.28
Navy,67,102.2,0.361,0.358,0.54,54.2,58.4,9.6,4.2,0.503,18.2,32.1,0.26
Omaha,72.6,103.7,0.27,0.363,0.55,47.9,46.2,7.7,6.7,0.525,15.9,25.5,0.191
Nebraska,68.1,105.7,0.376,0.352,0.531,48.7,54.4,8.9,12.8,0.491,13.9,30.1,0.27
Nevada-Las Vegas,73.7,111.1,0.434,0.277,0.571,53.7,54.7,7.4,9.7,0.535,16.4,34.4,0.306
Nevada,70.6,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.2,0.269
New Hampshire,66.7,101.8,0.302,0.43,0.51,53.9,50.8,5.4,5.6,0.472,14.9,30.6,0.222
New Mexico State,70.1,107.5,0.287,0.367,0.538,56,49.9,7.9,8.6,0.519,15.2,34.2,0.184
New Mexico,73.6,111.2,0.343,0.474,0.582,46.9,57.4,10,7.3,0.544,14.9,26.3,0.266
New Orleans,68.8,100.7,0.42,0.247,0.533,51.2,59.3,10.4,9.9,0.497,18.8,32.8,0.283
Niagara,75,110.1,0.38,0.357,0.548,50,42.1,6.9,10.1,0.508,12.9,30.5,0.277
Nicholls State,76.9,107.3,0.349,0.366,0.568,50.7,50.4,12.5,10.1,0.537,17.4,30.5,0.25
NJIT,71,104.7,0.321,0.362,0.541,50.6,51.6,11.5,8.4,0.514,16.1,30.6,0.22
Norfolk State,72.3,100.2,0.321,0.355,0.523,51.9,52.4,8.6,11,0.494,18.1,33,0.215
North Carolina-Asheville,69.5,106.2,0.32,0.366,0.578,50.7,57.2,10.5,9.5,0.547,17.5,25.7,0.237
North Carolina A&T,71.2,104.2,0.386,0.352,0.551,50.7,57.5,8.4,5.8,0.515,16.8,28.5,0.275
North Carolina Central,68.9,104.2,0.29,0.311,0.538,53.4,57.4,7.4,9.4,0.512,17.4,33.6,0.199
North Carolina-Greensboro,66.9,107.1,0.265,0.452,0.548,55,52.7,11.2,12.4,0.525,17.1,34.1,0.185
North Carolina State,72.1,112.3,0.342,0.344,0.562,50.3,55,10.2,9.2,0.534,14.3,33.3,0.238
North Carolina-Wilmington,73.4,106.1,0.315,0.334,0.524,53.2,53,6.8,5.6,0.494,14.6,33.7,0.217
North Carolina,71.7,113.4,0.28,0.351,0.551,56.4,61,8,11.1,0.52,14,37.4,0.208
North Dakota State,68.8,107.8,0.305,0.436,0.583,50.9,50.4,6.6,6.2,0.552,16.5,22.7,0.232
North Dakota,73.2,101.6,0.353,0.365,0.553,45,47.6,10.6,4.7,0.521,16,20.2,0.249
North Florida,75.6,106.6,0.277,0.459,0.573,46.4,52.2,6.9,7.5,0.543,17,26.1,0.21
North Texas,70.1,104.7,0.339,0.379,0.543,52.7,47,7.2,8.2,0.519,16,29.4,0.224
Northeastern,68,108.9,0.347,0.453,0.597,51.1,60.9,9.7,6.2,0.569,17.9,25.5,0.255
Northern Arizona,70.7,92.1,0.429,0.334,0.499,48.1,45,7.9,9.5,0.45,19.1,27,0.301
Northern Colorado,73.8,108.8,0.334,0.396,0.566,51.3,41.1,7.2,8.1,0.542,14.6,25.6,0.23
Northern Illinois,69.3,104.2,0.335,0.275,0.538,49.7,34.7,9.6,5.3,0.502,14.9,28.2,0.243
Northern Iowa,64.3,99.5,0.313,0.399,0.522,51.2,47.9,8,7.4,0.487,15.6,24.3,0.226
Northern Kentucky,70.7,110,0.312,0.4,0.572,52.6,58.2,10.4,8.7,0.543,15.5,29.1,0.228
Northwestern State,72.2,89.2,0.35,0.267,0.477,48.9,40.3,8.6,11.1,0.45,20.2,32.1,0.214
Northwestern,65.3,104.6,0.297,0.397,0.532,50.4,58,7.4,13.2,0.497,15.3,29.5,0.222
Notre Dame,66.5,111.4,0.314,0.393,0.551,51.6,55,8.6,9.6,0.514,12.7,30.8,0.238
Oakland,72.2,107.5,0.355,0.398,0.562,50.4,62.6,8.3,11.9,0.52,15.9,28.1,0.273
Ohio State,68,110.9,0.311,0.342,0.57,53.6,52.5,8.9,11.3,0.541,14.9,29.8,0.227
Ohio,72.6,100.5,0.306,0.349,0.538,48.4,52.8,8.9,8.8,0.508,16,22.3,0.218
Oklahoma State,70.8,107.4,0.322,0.383,0.538,51.1,53.6,9.2,10.4,0.498,15.4,34.2,0.244
Oklahoma,76.5,109.7,0.332,0.405,0.569,49.8,50.2,8.4,11,0.535,15.2,28.3,0.247
Old Dominion,66.6,109.3,0.33,0.338,0.537,52.8,57.2,11.1,13.6,0.507,13.2,32.2,0.228
Oral Roberts,68.1,104.6,0.257,0.319,0.517,52.2,51.5,7.8,9.3,0.492,15.4,35.9,0.176
Oregon State,67.4,106.8,0.387,0.328,0.555,52.1,57.2,9.7,10.3,0.521,16.8,31.8,0.274
Oregon,69.6,110.9,0.317,0.421,0.568,52.3,56.4,9.8,12.3,0.533,14.9,31,0.242
Pacific,67,105.6,0.401,0.258,0.537,50.9,49.1,9.1,12.3,0.494,14.8,30.4,0.292
Penn State,67.9,109.3,0.315,0.331,0.553,51.8,51.2,10.6,13.3,0.526,15,31.7,0.221
Pennsylvania,70.2,105.3,0.334,0.427,0.555,51,56.9,8.2,7,0.533,14.8,23.6,0.22
Pepperdine,67.8,104.4,0.353,0.296,0.534,50.8,54.6,7.1,6.5,0.5,15,29.4,0.248
Pittsburgh,65.7,93.7,0.319,0.475,0.515,45.5,58.7,6.5,9.4,0.482,18.7,23.3,0.222
Portland State,76.6,110,0.322,0.378,0.539,50.8,53,12.6,9.2,0.508,13.8,34.7,0.227
Portland,68.5,100.5,0.342,0.381,0.548,46.1,49.6,7.5,11.2,0.521,15.9,19.7,0.232
