school,pace,ortg,ftr,tpar,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,to_pct,orb_pct,ft_fga
Cleveland State,62.3,110.4,0.316,0.357,0.567,50.9,55.5,12,10.5,0.519,16.8,33.2,0.217
Coastal Carolina,65.2,110,0.411,0.333,0.537,55.7,46.1,10.8,10.2,0.5,15,37.5,0.283
Colgate,60.5,107.1,0.273,0.391,0.58,49.3,55.5,8.4,7.6,0.56,16.8,24.1,0.19
College of Charleston,61.7,94.2,0.324,0.337,0.491,47.4,46.2,8.9,8.5,0.459,16.8,27.6,0.214
Colorado State,65.3,110.1,0.418,0.368,0.539,54.3,59.6,8.5,9.8,0.505,13.7,34.3,0.281
Colorado,65.6,103.6,0.408,0.287,0.528,53.6,49.3,8.6,11.1,0.484,16.8,34.4,0.291
Columbia,60.6,107,0.286,0.461,0.55,51.9,52.3,8.1,10.1,0.522,16.6,32.5,0.205
Connecticut,61.9,103.2,0.323,0.349,0.533,50.8,52,7.6,14.8,0.501,16.1,30.1,0.229
Coppin State,73.6,97.3,0.31,0.433,0.507,42.8,51.5,9.1,7.6,0.475,16.1,25.8,0.214
Cornell,64.4,95.9,0.392,0.372,0.505,47.3,50.7,9.6,14.6,0.453,16.3,24.2,0.293
Creighton,63.3,104.8,0.363,0.427,0.533,51.5,60.2,6.9,6.7,0.494,15.8,31.3,0.263
Dartmouth,62.9,99.8,0.357,0.331,0.52,50.7,54.3,12.1,11.6,0.492,17.4,30.9,0.23
Davidson,67.2,117.1,0.287,0.456,0.578,50.3,60.9,7.9,7.5,0.556,12.2,30,0.203
Dayton,64.2,105.1,0.482,0.382,0.565,48.6,60.5,10.8,7.2,0.53,16.1,23.3,0.33
Delaware State,69.2,101.3,0.317,0.376,0.519,50.7,48.4,7.2,10.3,0.485,16.6,31.8,0.224
Delaware,65.7,99.1,0.381,0.35,0.509,48.7,55.7,6.4,9.8,0.471,15.9,28.8,0.261
Denver,58.2,105.5,0.312,0.43,0.593,45.5,69.6,10.1,5.9,0.562,17.7,19.3,0.239
DePaul,67.3,102.7,0.365,0.405,0.544,45.9,52.2,9.8,10.3,0.507,17.3,27.4,0.263
Detroit Mercy,68.2,102.5,0.328,0.319,0.535,49.8,52.9,11.2,10.9,0.506,16.6,30.1,0.224
Drake,58.9,100.2,0.345,0.351,0.567,47.1,58.1,7.5,6,0.528,20.1,23.4,0.265
Drexel,61.4,96.5,0.328,0.344,0.493,47.7,51.6,8.4,10.1,0.447,14.7,28,0.244
Duke,65.9,119.4,0.398,0.334,0.593,53.9,53.5,10.7,9,0.566,13.9,35.8,0.278
Duquesne,67.2,105.9,0.323,0.371,0.537,50,58,7.6,9.4,0.518,15.6,32.3,0.202
East Carolina,63.1,101.2,0.317,0.373,0.518,47.6,59.1,10,5.7,0.488,15.6,29.8,0.216
East Tennessee State,68.8,105.8,0.386,0.446,0.543,49.3,52.9,11.3,9.1,0.504,15.8,30.8,0.279
Eastern Illinois,63.2,99.9,0.329,0.379,0.535,45.9,58.3,8.9,12,0.511,16.8,24.3,0.215
Eastern Kentucky,65.5,108.9,0.319,0.475,0.584,44.3,60.5,14.7,10.1,0.549,15.6,22.7,0.248
Eastern Michigan,66.7,102.9,0.416,0.378,0.517,49.4,46,12.9,13.5,0.469,14.9,31.7,0.299
Eastern Washington,68.3,117.1,0.352,0.421,0.591,50,46.5,9.1,13,0.562,13.6,29.9,0.255
Elon,69.5,100.5,0.365,0.359,0.521,48.4,48.8,9.2,3.8,0.486,16.4,28.8,0.249
Evansville,66.1,106.1,0.433,0.232,0.571,50.8,63.8,8.7,9.9,0.526,16.9,26.5,0.324
Fairfield,62.1,93.9,0.371,0.389,0.497,46.7,52.8,7.8,9.1,0.452,17.6,27.3,0.266
Fairleigh Dickinson,67.7,98.3,0.336,0.379,0.509,43.1,47.7,12.7,9.4,0.473,16.2,28.1,0.233
Florida A&M,65.7,84.3,0.378,0.281,0.454,45.1,43,7.5,6.1,0.413,19,26.8,0.245
Florida Atlantic,64.2,97.1,0.286,0.391,0.511,47,45.6,6.7,8.1,0.485,17.1,26.9,0.193
Florida Gulf Coast,64.9,103.5,0.32,0.311,0.513,52,57.4,8.6,10.6,0.485,15.1,34.3,0.212
Florida International,65.5,94.3,0.382,0.287,0.515,49.7,49.9,10.3,13.3,0.487,19.8,29,0.243
Florida State,65.7,100.6,0.469,0.282,0.539,50.9,49.8,8.3,12.7,0.501,19,31.8,0.314
Florida,62.8,100.6,0.314,0.382,0.519,50.9,56.3,10.9,10.5,0.496,16.8,31.7,0.199
Fordham,66.3,97.6,0.326,0.358,0.509,52.2,54.9,10.1,11.3,0.47,18.6,34.2,0.237
Fresno State,64.3,100.1,0.391,0.33,0.52,47.6,46.3,12,10.4,0.481,15.1,27,0.27
Furman,63.1,100,0.438,0.402,0.531,49.4,48.8,8.7,8.2,0.494,18.1,29.7,0.293
Gardner-Webb,68.4,107.8,0.378,0.406,0.547,49.9,62.2,9.6,5.7,0.519,15.2,31.2,0.253
George Mason,65.1,97.7,0.406,0.244,0.503,52.2,44.5,9.2,11.3,0.465,18.3,36,0.271
George Washington,63.4,105,0.4,0.289,0.524,52.7,49.3,8.8,10.6,0.489,15.8,35.6,0.269
Georgetown,64.6,108.1,0.439,0.325,0.552,52.2,53.4,11.6,14.1,0.513,16.4,34.3,0.309
Georgia Southern,65,104,0.349,0.419,0.513,51.3,49.2,11.1,9.4,0.482,15.1,34.2,0.233
Georgia State,64.3,109.8,0.383,0.278,0.563,48.9,53.1,14.1,13.5,0.527,14.2,30,0.277
Georgia Tech,63.9,97.4,0.311,0.273,0.475,55.2,49.3,8.8,9.4,0.444,16,38.7,0.202
Georgia,64.8,102.8,0.477,0.311,0.53,53,55,8.4,12.4,0.485,16.5,32.2,0.331
Gonzaga,65.2,120.3,0.387,0.317,0.606,55.5,57.2,9.1,8.4,0.584,13.9,34.1,0.267
Grambling,65.7,79.2,0.412,0.258,0.445,47.3,43.9,8.1,4.9,0.398,22.3,29.9,0.268
Grand Canyon,64.7,106.2,0.4,0.353,0.549,47.4,51.1,8.3,7.9,0.51,15.2,27.2,0.286
Green Bay,65,104.6,0.39,0.265,0.525,51.9,56,11.4,13.5,0.498,15.4,32.9,0.251
Hampton,69.5,96.1,0.438,0.326,0.496,50.1,46.7,9.6,10.5,0.456,17.3,31.8,0.286
Hartford,63.4,96.5,0.299,0.452,0.51,47.2,56.1,9.7,4.9,0.478,16.6,25.7,0.209
Harvard,61.2,103.2,0.393,0.266,0.524,52.5,57.2,11.4,13.1,0.481,16,32.7,0.283
Hawaii,69.9,103.5,0.371,0.341,0.528,49.3,51.6,13.7,11.1,0.493,16.2,33,0.254
High Point,63.7,110.4,0.357,0.295,0.567,50.3,56.5,9.4,8.5,0.531,15,30.8,0.263
Hofstra,69.2,112.6,0.398,0.416,0.557,51.6,58.2,10.7,7.2,0.523,13.7,32.7,0.279
Holy Cross,63.6,102.1,0.346,0.339,0.518,48.7,48.3,11.7,14.1,0.479,14.6,29.8,0.247
Houston Baptist,69.3,104,0.383,0.25,0.538,54.6,47.8,8.5,10.6,0.497,18.5,38.4,0.278
Houston,63.9,99.2,0.32,0.451,0.498,49.2,53.3,8.9,10.4,0.465,17,33.6,0.218
Howard,64.8,96.4,0.435,0.309,0.519,51.2,38.8,11.5,12.6,0.475,20.9,34.2,0.304
Idaho State,64,100.5,0.378,0.264,0.517,48.7,48.2,10.7,8.3,0.487,15.9,29.9,0.246
Idaho,68.2,110.7,0.372,0.331,0.566,52.9,50.3,6.7,6,0.535,15.1,31.2,0.264
Illinois-Chicago,64.8,99.5,0.398,0.336,0.495,49.5,57,9.3,7.3,0.442,14.4,31.1,0.294
Illinois State,64.1,105.2,0.347,0.316,0.526,53.1,48.2,11.2,12.7,0.489,16.5,36.4,0.247
Illinois,65,105.5,0.312,0.352,0.522,50.4,49.5,9.6,9.2,0.476,13.1,30.2,0.248
Incarnate Word,69.6,111.1,0.454,0.334,0.574,48.2,49.4,11.1,10.5,0.531,14.1,27.2,0.333
Indiana State,66,98.6,0.421,0.394,0.536,48.2,58.4,8.4,8.3,0.496,18.5,26.5,0.295
Indiana,66.9,115.3,0.327,0.395,0.573,52.2,51.2,7.4,7.8,0.544,14.6,35.2,0.235
Iona,70.6,112.1,0.374,0.424,0.576,48.8,60.3,9.1,9,0.547,15,28.7,0.262
Iowa State,69.8,111.4,0.365,0.368,0.571,50.5,58.1,9.2,9.7,0.543,13.9,28.3,0.254
Iowa,64.5,107.4,0.38,0.302,0.527,52.9,58.7,9.9,13.1,0.481,14.4,35.6,0.282
Fort Wayne,65.4,107.1,0.402,0.386,0.569,50.3,58.9,8.8,8.1,0.539,16,25.2,0.276
IUPUI,64,92.3,0.328,0.262,0.502,50.8,50.3,10.7,6,0.465,20.4,31.1,0.23
Jackson State,64.9,92.8,0.329,0.308,0.463,53.2,46.2,9.7,8.5,0.429,18,37.7,0.213
Jacksonville State,64.8,95.3,0.383,0.352,0.483,47.3,57.3,9.4,11,0.434,15.8,30,0.274
Jacksonville,65.1,97.2,0.401,0.331,0.506,46.9,48.6,9.8,7.4,0.469,16.2,28.3,0.265
James Madison,64.2,104.2,0.422,0.369,0.556,49.4,56,10,6.9,0.519,17.8,29,0.297
Kansas State,63.1,99.5,0.46,0.264,0.519,51.2,60.4,9.6,6.7,0.477,17.9,33.9,0.311
Kansas,66.7,106.3,0.426,0.284,0.539,52.6,54.7,9.8,12.3,0.494,16.3,34.9,0.309
Kennesaw State,66.8,94.8,0.292,0.372,0.501,47.7,46.2,8.1,8.9,0.464,18.4,30,0.214
Kent State,62.1,104.9,0.382,0.371,0.524,50.9,46.2,8,10.2,0.494,15.1,33.9,0.251
Kentucky,63.8,115.5,0.439,0.271,0.558,54.9,55,10.1,18.2,0.515,13.6,39.5,0.319
La Salle,64.3,96.8,0.364,0.294,0.506,49.6,53.9,9.8,9.6,0.467,17.2,29.6,0.253
Lafayette,64.8,112.9,0.305,0.356,0.589,48.3,58.9,8.4,6.9,0.557,15.1,28.4,0.234
Lamar,68.8,103.5,0.423,0.321,0.539,51.8,52.3,10.8,11,0.503,18.9,35.9,0.288
Lehigh,66.3,101.4,0.362,0.29,0.531,51,59.3,8.3,9.3,0.491,17,29.6,0.262
Liberty,66.7,95.4,0.392,0.285,0.52,51.3,49.9,8.2,8.3,0.479,21,32.4,0.276
Lipscomb,69.2,102.9,0.404,0.435,0.529,49.6,58.3,8.1,6.1,0.49,16.3,29.9,0.281
Long Beach State,65.8,100,0.353,0.371,0.518,48.9,48.5,9.9,7,0.484,17.4,32,0.241
Long Island University,68.1,96.5,0.398,0.348,0.493,49.5,51.1,8.2,6.4,0.449,16.7,31.3,0.274
Longwood,67.7,98.9,0.305,0.393,0.531,45.7,49.1,11.6,9.1,0.498,18.4,27.3,0.22
Louisiana,71.6,107.5,0.399,0.315,0.552,54.4,54.3,9.2,9.8,0.515,17.2,35.5,0.282
Louisiana-Monroe,63.5,100.5,0.27,0.293,0.503,52.3,53.8,8.1,11.2,0.471,15.3,33.3,0.192
Louisiana State,69.6,103.1,0.335,0.284,0.533,51.5,57.8,10.2,14,0.503,17.3,33.9,0.229
Louisiana Tech,67.9,106.9,0.339,0.358,0.537,46.9,53.3,12.3,14.3,0.506,13.7,29,0.234
Louisville,65.6,104.5,0.387,0.314,0.512,51.8,47.7,11.9,14.4,0.477,14.4,34.7,0.258
Loyola (IL),60.4,103.7,0.342,0.322,0.563,49,58.1,10.7,7.1,0.537,18.4,28,0.235
Loyola Marymount,62.9,98.1,0.358,0.279,0.508,49.6,57.2,9.6,10.5,0.467,18.2,33.7,0.254
Loyola (MD),62.3,92.2,0.376,0.287,0.47,50.9,47.8,8.7,9,0.428,17.1,32.1,0.253
Maine,66.3,90.4,0.276,0.381,0.501,44.9,60.7,8.9,3.1,0.466,19.3,23.3,0.201
Manhattan,68.2,100.7,0.474,0.366,0.537,48.6,60.8,11.6,7.5,0.494,18.3,30.9,0.328
Marist,66.4,92.1,0.38,0.44,0.509,42.9,51.8,10.5,7.8,0.468,18.5,21.2,0.266
Marquette,64.6,100,0.358,0.354,0.524,46.6,64.6,11.6,9.8,0.498,16.8,29,0.231
Marshall,71,93.7,0.346,0.428,0.499,48.6,55.8,9.3,7.5,0.469,18.9,29.1,0.224
Maryland-Baltimore County,64.4,86.7,0.374,0.325,0.496,46.5,57.2,10.2,8.6,0.463,21.6,23.3,0.241
Maryland-Eastern Shore,65.1,103.3,0.47,0.336,0.549,51.7,59.4,11.5,4.5,0.517,19.9,35.5,0.308
Maryland,64.7,106.1,0.445,0.387,0.562,51.1,48.1,7.4,11.9,0.512,16.7,28.9,0.336
Massachusetts-Lowell,64.5,93.9,0.343,0.42,0.517,45.1,53,10.6,3.1,0.487,18.2,21.9,0.228
Massachusetts,68.3,100.7,0.424,0.273,0.518,51.5,55.6,9.8,10.3,0.473,17.4,33.9,0.298
McNeese State,66,104.4,0.309,0.331,0.501,49.1,51.6,10.8,12.6,0.474,13.4,34.6,0.201
Memphis,65.6,101.8,0.316,0.277,0.513,53,57.4,10.6,17.2,0.484,16.9,37,0.211
Mercer,61.2,106.7,0.4,0.332,0.533,50.8,57.9,10.2,8.1,0.497,14.7,33.3,0.275
Miami (FL),62.5,107.3,0.355,0.397,0.54,50.6,55.6,8.7,9,0.499,13.8,29.6,0.265
Miami (OH),65.4,99.8,0.383,0.325,0.535,48.1,50.7,11.5,6.5,0.496,17.2,26,0.272
Michigan State,63,109.7,0.327,0.35,0.55,53.9,63.7,8,12.6,0.532,14.9,33.4,0.207
Michigan,60.7,104.2,0.271,0.404,0.532,47,52,8.8,5.2,0.498,13.6,25.5,0.205
Middle Tennessee,62.1,99.8,0.38,0.362,0.518,52.1,51.2,9.3,9.4,0.479,17.5,31.8,0.266
Milwaukee,65.4,100.1,0.377,0.399,0.532,49.4,58.9,8,6.9,0.489,17.2,26.9,0.277
Minnesota,68.2,108,0.33,0.332,0.55,48.1,58.3,13.8,9.7,0.526,15.2,30.6,0.221
Mississippi State,64.1,96.4,0.467,0.279,0.52,51.9,41.6,10,8.4,0.472,19.9,32.6,0.325
Mississippi Valley State,71,89,0.33,0.272,0.463,44.2,45.8,10.5,2.9,0.427,17.9,30.1,0.216
Mississippi,67,107.9,0.361,0.331,0.527,51.8,53.1,9.8,11.3,0.478,13.9,34.8,0.279
Missouri-Kansas City,64.9,99.1,0.408,0.365,0.51,46.9,52,12.2,10.1,0.468,17.3,32.2,0.283
Missouri State,61.1,96.1,0.326,0.318,0.497,50.4,53.1,8.3,9.4,0.455,16.8,31.1,0.238
Missouri,63.4,94.7,0.331,0.352,0.494,48.2,50.2,8.8,8.3,0.461,17.5,29.7,0.22
Monmouth,64.1,99.7,0.41,0.297,0.525,48.8,51,10.8,12.5,0.479,17.3,30,0.296
Montana State,66.4,96.3,0.289,0.413,0.506,49.3,52.7,6.6,8.1,0.471,17.8,29.3,0.208
Montana,63.2,108.4,0.325,0.413,0.569,50.1,56.3,10.1,8,0.54,15.9,28.2,0.233
Morehead State,67,105.5,0.354,0.331,0.537,53.4,58,12.1,9.9,0.499,17,35.8,0.254
Morgan State,65.6,92.9,0.331,0.306,0.437,47.8,46.5,8.6,8,0.402,13.3,34.9,0.207
Mount St. Mary's,63.1,97.9,0.304,0.42,0.503,48.3,51.7,10.5,10.1,0.472,16.3,30.6,0.207
Murray State,67.5,116.2,0.417,0.34,0.578,52.7,56.5,10.6,8.7,0.548,14.7,36.1,0.29
Navy,61.5,99.1,0.313,0.316,0.519,49.6,58.8,9.5,10.9,0.491,17.2,29.6,0.21
Omaha,73.4,103.7,0.427,0.313,0.537,50.1,45.6,11,8.4,0.497,15.9,30.6,0.298
Nebraska,63.8,94.7,0.365,0.351,0.503,48.5,47.4,9.5,9,0.462,17.1,26.7,0.258
Nevada-Las Vegas,65.1,103.5,0.33,0.352,0.535,49,56.1,8.4,16.4,0.51,15.2,27,0.219
Nevada,63.8,94.4,0.42,0.249,0.467,54,46.8,8.5,11.4,0.414,17.8,40.2,0.292
New Hampshire,64.5,102,0.366,0.36,0.534,53.4,49,7.9,6.2,0.504,16.4,28.1,0.247
New Mexico State,62.9,107.5,0.441,0.257,0.548,54.9,50.2,10.2,9.2,0.509,18.2,39.9,0.306
New Mexico,61.9,99,0.384,0.302,0.512,53.7,58,9.2,14.9,0.479,17.3,33.2,0.253
New Orleans,70,100.8,0.48,0.228,0.523,51.4,39.6,10.6,9.3,0.477,18.7,35.8,0.331
Niagara,65.5,97.5,0.412,0.326,0.502,50.1,52.6,8.7,6.6,0.456,17.5,32,0.286
Nicholls State,68.4,94.2,0.427,0.328,0.519,49,55.4,10,11.2,0.489,21.3,31.6,0.267
NJIT,67.3,106.7,0.385,0.42,0.566,49.6,60.9,10.5,12.8,0.536,17.7,30,0.268
Norfolk State,65.4,105.7,0.417,0.305,0.553,53.7,54,7.7,15,0.525,17.6,34.9,0.275
North Carolina-Asheville,69,104.5,0.349,0.368,0.542,50.5,54.2,10.6,12.6,0.505,17.4,32.4,0.253
North Carolina A&T,63.3,92.6,0.39,0.342,0.49,49.8,45.8,8.4,11.8,0.448,20.1,34.3,0.266
North Carolina Central,62.6,109.9,0.379,0.356,0.579,53.1,56.7,10.6,12.5,0.553,17.4,32.4,0.26
North Carolina-Greensboro,67.1,102.7,0.323,0.316,0.524,50.4,47.7,9.2,9.8,0.499,15.9,31.4,0.21
North Carolina State,64.5,108,0.354,0.322,0.526,52.3,46.4,5.9,13.1,0.493,13.5,34,0.243
North Carolina-Wilmington,67.9,101.9,0.369,0.254,0.519,49.7,45.4,11.1,11.6,0.486,15.5,31.5,0.249
North Carolina,69.2,111.6,0.353,0.223,0.548,55.2,60.1,9.5,11.3,0.516,15.1,40,0.247
North Dakota State,61.9,103.7,0.358,0.35,0.534,51.3,42.4,7.6,10.7,0.501,14,25.6,0.248
North Dakota,68.2,98.5,0.384,0.332,0.525,47.4,49.5,9.2,8.2,0.491,16.2,25,0.26
North Florida,67.7,112,0.391,0.424,0.585,50.7,56.4,9,9.9,0.553,16.1,30.1,0.283
North Texas,67,97.1,0.403,0.291,0.506,49.5,42.7,10,9.9,0.476,17.4,31,0.254
Northeastern,63.5,106.7,0.413,0.305,0.581,54.2,59.7,8.1,9.3,0.545,19,30.1,0.3
Northern Arizona,65.2,104,0.365,0.337,0.511,54,52.7,7.3,11.1,0.462,14.9,35.7,0.274
Northern Colorado,64.1,114.7,0.356,0.316,0.567,49.5,46,10,6.1,0.536,13.7,33.7,0.254
Northern Illinois,64,101.4,0.476,0.305,0.521,52.7,44.5,11.6,8.4,0.477,18.4,36.7,0.324
Northern Iowa,57.4,111.9,0.398,0.399,0.593,51.9,53.2,10.2,7.8,0.559,15.9,27,0.292
Northern Kentucky,65.1,107.5,0.299,0.383,0.547,50.1,48.7,8.8,8.4,0.527,15.3,29.6,0.197
Northwestern State,75.1,111.8,0.346,0.361,0.562,46.2,53.8,10.1,10.3,0.525,14.1,30.9,0.259
Northwestern,60.5,103,0.286,0.38,0.536,49.5,63.3,6,11.3,0.504,15.8,27.6,0.209
Notre Dame,63.7,120.4,0.367,0.376,0.612,49.8,54.9,10.4,9.1,0.583,12.9,27.9,0.272
Oakland,66.7,108.8,0.375,0.386,0.561,50.1,60.3,8.7,4.5,0.532,16,30.4,0.257
Ohio State,66,113.2,0.347,0.319,0.567,51.5,55.4,11.4,14.6,0.542,14.6,33.5,0.236
Ohio,67.2,100.1,0.29,0.38,0.531,48.3,46.9,7.6,11,0.498,16.7,25.9,0.213
Oklahoma State,64.6,103.6,0.387,0.388,0.547,48.6,49.9,12.1,13.7,0.507,16.6,27.8,0.281
Oklahoma,67.4,105.2,0.328,0.338,0.532,51.1,48.6,10,12.9,0.493,15.1,31.5,0.243
Old Dominion,61.1,105.6,0.306,0.329,0.513,53.9,56.5,10.3,11.2,0.486,14.5,36,0.204
Oral Roberts,66.4,104.4,0.431,0.309,0.531,49.7,47.1,8.7,10.2,0.484,15,30.5,0.31
Oregon State,62.1,97.7,0.363,0.314,0.51,48.2,56.1,12.5,13.9,0.472,16.5,29,0.252
Oregon,68,109.3,0.286,0.339,0.557,50.9,51.2,8.3,11,0.524,14.7,30.8,0.217
Pacific,62,102.5,0.408,0.358,0.512,52,53.3,6.4,7.3,0.479,16.7,35.6,0.265
Penn State,65.8,100.1,0.347,0.359,0.516,49.7,42.3,9.1,11,0.48,15.8,29.7,0.241
Pennsylvania,63.1,95,0.359,0.325,0.523,50.4,54.9,8.6,7.4,0.491,20.6,29.6,0.242
Pepperdine,64.2,98.2,0.378,0.278,0.514,49.1,60.4,9.7,8.9,0.466,16.7,28.9,0.28
Pittsburgh,61.2,108.4,0.348,0.259,0.524,51.5,67.2,8,7.9,0.491,13.4,35.5,0.238
Portland State,67.2,106.3,0.364,0.308,0.54,47.7,52.7,9.3,10.7,0.498,14.4,28.1,0.27
Portland,64.6,106.9,0.366,0.315,0.54,52.8,60,8.9,12.1,0.503,15.8,35.2,0.262
