school,opp_pace,opp_ortg,opp_ftr,opp_tpar,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_to_pct,opp_orb_pct,opp_ft_fga
Marist,65.6,104.8,0.359,0.478,0.56,51.2,56.2,8.5,10.2,0.53,17.1,26.3,0.252
Marquette,70.7,97.2,0.359,0.356,0.5,47,51,9.7,8.9,0.463,14.5,26.2,0.244
Marshall,76.3,104.5,0.324,0.353,0.552,55.2,44.4,8.4,7.3,0.52,18,31.5,0.232
Maryland-Baltimore County,65.8,94.5,0.319,0.493,0.533,49.7,53.9,8.4,8.1,0.5,20.7,23.9,0.228
Maryland-Eastern Shore,65.5,108.9,0.369,0.444,0.565,54.6,59.7,9.8,9.3,0.538,16.7,31.2,0.252
Maryland,66.6,98.4,0.266,0.394,0.493,44,51.9,10.4,9.8,0.459,12.3,24.7,0.193
Massachusetts-Lowell,71.9,104.4,0.325,0.356,0.539,50.2,46.8,9.9,9.8,0.507,15.7,29.3,0.23
Massachusetts,68.4,106.7,0.414,0.348,0.555,48,59.9,9.7,10.4,0.512,14.9,26.9,0.303
McNeese State,68.4,108.2,0.268,0.4,0.555,49.4,56,10.2,7.7,0.528,15.5,29.9,0.196
Memphis,75.5,98,0.375,0.394,0.524,48.8,58.1,10.3,11.4,0.486,18.6,30.5,0.263
Mercer,69.1,104.4,0.334,0.47,0.547,50.8,54.6,9.5,11.1,0.521,17.7,31.5,0.225
Miami (FL),68.5,103.3,0.227,0.394,0.544,52.3,53.4,8.3,8.7,0.52,17.3,29.7,0.165
Miami (OH),68.8,101,0.333,0.411,0.532,48,49.2,8.9,10.1,0.501,15.5,24.3,0.23
Michigan State,68.1,94.8,0.275,0.372,0.471,43.9,51.9,9.1,8.4,0.439,12.9,25.7,0.187
Michigan,65.4,89.2,0.241,0.301,0.467,49.3,45.8,6.1,9.6,0.441,15.8,24.1,0.16
Middle Tennessee,70.3,102.9,0.332,0.404,0.534,47.7,52.5,10.9,8.6,0.501,15.4,26.9,0.235
Milwaukee,68.9,107.9,0.352,0.451,0.547,50.7,53.5,8.3,9.5,0.515,13.4,27.5,0.247
Minnesota,67.9,101.8,0.282,0.339,0.523,48.8,50.8,8.5,10.9,0.495,14.7,27.9,0.195
Mississippi State,68.6,102,0.321,0.366,0.536,47.2,50.6,8.5,10.1,0.503,17,29.4,0.23
Mississippi Valley State,70.6,110.1,0.316,0.377,0.561,52.4,54,8.4,9.6,0.536,15,30.8,0.219
Mississippi,69.2,102.4,0.335,0.345,0.542,48.9,55.2,8.9,9.8,0.51,17.9,29.2,0.236
Missouri-Kansas City,68.6,105.8,0.366,0.363,0.562,54.6,51.4,7.8,9.8,0.531,18.3,31.6,0.258
Missouri State,66.5,100.9,0.353,0.368,0.558,50.3,51.9,8.6,9,0.525,19.2,25.3,0.253
Missouri,66.1,101.7,0.38,0.407,0.534,47.2,50.1,9.1,11.3,0.494,16,25.7,0.273
Monmouth,68.5,102.5,0.432,0.514,0.55,50,58.8,10,9.7,0.511,18.5,28.4,0.302
Montana State,71.6,111.3,0.289,0.445,0.588,50.4,53.4,8.2,7,0.567,15.4,25.7,0.203
Montana,68.6,99.5,0.36,0.365,0.537,48.2,45.3,8.1,8,0.494,17.5,24.5,0.27
Morehead State,70.6,108,0.28,0.374,0.553,51.2,50.1,8.3,12.8,0.523,15.6,30.6,0.208
Morgan State,73.9,103.1,0.397,0.372,0.562,52.8,53.4,7.7,11.5,0.533,20.5,34.3,0.268
Mount St. Mary's,69.5,106.1,0.335,0.389,0.547,52.6,54.6,8.9,9.5,0.513,15.8,30.8,0.241
Murray State,71.8,95.1,0.274,0.354,0.495,47.9,45.2,8.4,9.2,0.461,16.9,29.6,0.197
Navy,68.3,106.2,0.297,0.429,0.553,47.6,62,10.8,11.9,0.521,14.8,25.3,0.22
Omaha,70,108.7,0.263,0.44,0.575,50.8,48.5,6.6,8.6,0.549,15.4,25.1,0.196
Nebraska,67.2,99.7,0.295,0.343,0.511,51.5,48.6,7.1,9.9,0.478,16.5,31.5,0.209
Nevada-Las Vegas,69,103.9,0.316,0.341,0.539,46.7,49.4,9.1,6.9,0.51,15.4,27.3,0.219
Nevada,70.7,94.4,0.28,0.399,0.505,48.2,51.7,6.6,7.4,0.477,17,24.7,0.189
New Hampshire,67.1,102.3,0.384,0.383,0.542,52.3,41.9,8,8.7,0.507,15.6,23,0.268
New Mexico State,68.3,94.1,0.325,0.401,0.52,42.8,39.2,7.2,5.9,0.486,17.5,20.8,0.228
New Mexico,74.5,103,0.368,0.337,0.543,49.8,56.3,9.4,9.7,0.511,16.2,27.3,0.252
New Orleans,71.1,97.3,0.376,0.339,0.53,50.3,54.4,11,10.1,0.492,20.8,32.8,0.265
Niagara,70.4,107.6,0.253,0.373,0.558,50.2,50.8,8,8.6,0.534,14.3,25.6,0.181
Nicholls State,71.2,103.5,0.339,0.34,0.53,54.3,55.2,6.7,9.8,0.496,16.4,32.6,0.238
NJIT,69.2,98.5,0.294,0.376,0.516,51.4,50.3,8,10,0.489,16,26,0.198
Norfolk State,71.8,95.6,0.412,0.418,0.515,49.8,57,6.7,9,0.477,18.8,28.1,0.276
North Alabama,71.1,103.3,0.386,0.37,0.552,50.6,51.6,9,13.2,0.517,16.1,25,0.271
North Carolina-Asheville,64.2,115.8,0.348,0.437,0.583,53.5,66.2,10.6,11.1,0.556,15.6,35.3,0.248
North Carolina A&T,67.9,100.9,0.312,0.37,0.519,52.2,54.9,8.7,9.6,0.485,17.6,33.6,0.22
North Carolina Central,68.5,97,0.305,0.352,0.518,45.2,53.2,8.5,10,0.491,17.1,26.2,0.205
North Carolina-Greensboro,69.9,96.8,0.317,0.387,0.536,49.3,47.2,8.2,7.7,0.505,20.6,29,0.224
North Carolina State,71.8,98.7,0.388,0.343,0.532,47,52.1,8.6,10.1,0.494,18.8,28.6,0.273
North Carolina-Wilmington,70.2,113.9,0.32,0.43,0.584,47.6,48.5,8.8,6.1,0.556,13,26,0.234
North Carolina,75.9,96.1,0.284,0.438,0.517,43.4,54.2,8.8,11,0.489,16.4,22.4,0.193
North Dakota State,66.8,107.9,0.259,0.353,0.554,51.3,45.2,7.7,9.4,0.525,13,24.5,0.194
North Dakota,71.5,102.4,0.274,0.336,0.545,51.1,43.2,9.8,5.8,0.509,15.9,24.7,0.213
North Florida,74,103.2,0.291,0.292,0.515,50.2,55.9,12.4,9.4,0.484,14.8,32.3,0.203
North Texas,67.5,92.9,0.37,0.37,0.5,46.8,49,9.6,12.3,0.465,17.8,25.2,0.247
Northeastern,66.3,104.8,0.278,0.359,0.55,50.3,45.3,8.1,7.4,0.521,14.9,24.5,0.204
Northern Arizona,70,109.8,0.297,0.436,0.573,51.3,54,7.8,8.3,0.55,14.8,26.4,0.208
Northern Colorado,68.7,100.2,0.273,0.311,0.536,47.9,44.4,9.2,10,0.507,16.4,24.5,0.196
Northern Illinois,68.4,102.6,0.383,0.449,0.544,49.1,56,7.3,7.3,0.513,16.4,25.6,0.259
Northern Iowa,65.8,99.6,0.317,0.383,0.538,50,48.9,9.9,7.8,0.504,16.6,22.2,0.228
Northern Kentucky,70,97.7,0.348,0.392,0.52,46.8,51.3,8.4,11.1,0.481,16.8,25.3,0.251
Northwestern State,70.7,103.2,0.357,0.374,0.534,52.2,56.3,11,10.3,0.501,17.1,33.4,0.245
Northwestern,66.8,96.6,0.34,0.32,0.506,51.6,56.5,8.5,9.6,0.467,15.8,26.3,0.243
Notre Dame,66.4,103.8,0.218,0.367,0.514,51.6,49.1,7.4,8.6,0.49,14,31.1,0.155
Oakland,69.9,108.6,0.275,0.368,0.554,52.6,55.7,9.2,9.3,0.526,15,31.7,0.201
Ohio State,66.7,98.9,0.318,0.374,0.522,49.1,50.1,9.3,9.2,0.483,16.1,25.8,0.235
Ohio,71.5,102,0.307,0.391,0.536,49.2,51.4,10.6,6.1,0.506,16.3,26.8,0.217
Oklahoma State,67.1,106.1,0.315,0.423,0.54,51.4,55.1,8.7,10.4,0.503,15.2,29.4,0.235
Oklahoma,69.3,98,0.231,0.413,0.498,49.8,49.8,9.5,9.5,0.475,14.9,27.8,0.156
Old Dominion,65.6,92.7,0.324,0.405,0.489,46.8,52.9,7.4,6.8,0.456,16.3,24.4,0.216
Oral Roberts,69.1,111.8,0.327,0.397,0.57,47.9,56.6,9.8,7.9,0.536,13,26,0.245
Oregon State,67.2,103,0.335,0.374,0.529,48.3,52.2,8.9,7.7,0.502,15.3,28.9,0.224
Oregon,65.5,94.4,0.339,0.454,0.502,48.9,55.1,7.9,8,0.464,18.2,28.2,0.238
Pacific,66.7,104.2,0.413,0.434,0.574,48.9,49,8.8,11,0.542,17.8,22.8,0.29
Penn State,68.2,99.5,0.341,0.333,0.535,48.4,49.9,9.8,9.2,0.499,17.4,25.9,0.245
Pennsylvania,69.1,96.8,0.256,0.328,0.513,50.2,40.5,9.1,8.6,0.487,16.8,25.7,0.175
Pepperdine,70.7,104.5,0.357,0.397,0.563,52.6,55.4,8.7,9.6,0.534,18.4,29.3,0.251
Pittsburgh,68.6,99.4,0.329,0.406,0.515,50,58.8,9.5,15.1,0.477,18,32.7,0.236
Portland State,72.2,103.3,0.435,0.36,0.563,45.3,54.5,8.2,8.7,0.525,18.3,26.6,0.308
Portland,68.4,108.2,0.337,0.407,0.552,53.7,61,9.3,10.4,0.52,14.2,28.9,0.241
Prairie View,72.5,100.4,0.464,0.36,0.553,53.3,51.6,6.9,11.2,0.514,21.7,34.1,0.321
Presbyterian,69.6,103.7,0.327,0.418,0.549,50.6,50.2,6.8,8.6,0.52,16.6,25.7,0.23
Princeton,69.8,98.5,0.288,0.362,0.523,49.6,43.4,9.3,11.4,0.49,15.7,24.3,0.209
Providence,68.8,99.6,0.328,0.374,0.533,48.9,51,9.8,8.4,0.497,17.7,27.9,0.239
Purdue,66.1,100.4,0.317,0.432,0.527,46.3,53.5,7.4,11.6,0.49,16.3,26.5,0.232
Quinnipiac,67.6,105.1,0.27,0.369,0.528,49.2,45.4,8.6,11.5,0.507,13.6,28.7,0.176
Radford,66.5,101.7,0.3,0.447,0.542,47.3,50.1,6.7,8.8,0.51,16.3,24,0.218
Rhode Island,68.2,98.4,0.357,0.377,0.527,48.8,52.6,8.4,8.9,0.487,17.7,27.6,0.259
Rice,71.8,105.9,0.3,0.394,0.546,48.8,52,8.5,10.1,0.516,13.8,23.9,0.216
Richmond,66.6,106.1,0.287,0.381,0.554,55.1,48.1,8.4,9.6,0.531,16.3,29.7,0.196
Rider,74.1,101.1,0.36,0.434,0.562,49.6,57.7,8.1,9.1,0.537,20.2,27.1,0.242
Robert Morris,68.2,99.3,0.388,0.38,0.554,49.5,49.5,9.3,8.5,0.512,20,27.1,0.287
Rutgers,68.1,100.2,0.324,0.381,0.52,47.2,51.1,9.5,8.9,0.492,15.3,27,0.216
Sacramento State,69.4,99.3,0.355,0.379,0.55,50,55,9.4,9,0.511,19.5,26.7,0.264
Sacred Heart,74,105.6,0.312,0.382,0.546,46.9,51.1,9.4,10,0.514,14.5,26.2,0.226
Saint Francis (PA),70.8,107.4,0.314,0.39,0.559,48,50.6,7.2,11.1,0.531,15.5,28.2,0.223
Saint Joseph's,68.8,105.2,0.271,0.441,0.545,51.7,59.2,7.3,7.4,0.517,14,24.1,0.197
Saint Louis,67,95.2,0.335,0.376,0.509,45.5,54.8,9,10.1,0.469,17.1,24.6,0.242
