school,gp,w,l,srs,sos,aw,al,tm_pts,opp_pts,mp,fga,fg_pct,tpa,tp_pct,fta,ft_pct,orb,trb,ast,stl,blk,to,pf
Texas A&M-Corpus Christi,29,11,18,-12.3,-6.56,4,11,1963,2057,1170,1589,0.435,437,0.341,603,0.716,292,1005,323,197,84,461,606
Texas A&M,35,22,13,15.3,10.62,4,7,2631,2467,1400,2121,0.46,700,0.329,679,0.661,429,1450,538,190,209,476,574
Texas-Arlington,34,21,13,2.2,-1.43,4,10,2640,2500,1365,2054,0.451,818,0.359,713,0.69,375,1333,545,229,143,507,617
Texas Christian,33,21,12,16.38,9.68,3,7,2708,2487,1345,1973,0.496,694,0.395,674,0.706,365,1201,615,214,119,419,553
Texas-El Paso,31,11,20,-5.3,-0.2,2,8,2094,2197,1240,1736,0.434,667,0.336,542,0.668,217,1036,328,129,89,381,576
Texas-Rio Grande Valley,33,15,18,-7.71,-2.84,6,10,2490,2584,1330,2061,0.404,663,0.309,835,0.741,379,1240,499,253,110,447,724
Texas-San Antonio,35,20,15,-1.24,-0.93,6,8,2740,2628,1405,2224,0.437,979,0.361,656,0.675,374,1394,492,218,95,440,703
Texas Southern,36,16,20,-7.53,-5.53,5,17,2787,2859,1450,2111,0.438,781,0.359,906,0.725,368,1301,438,207,145,453,631
Texas State,33,15,18,-5.83,-3.44,6,9,2190,2172,1330,1782,0.434,648,0.33,651,0.661,363,1144,448,179,92,442,543
Texas Tech,37,27,10,19.38,9.6,4,6,2759,2397,1490,2096,0.46,702,0.359,823,0.704,396,1332,529,262,158,454,669
Texas,34,19,15,13.96,10.67,3,7,2450,2338,1410,2010,0.439,766,0.32,663,0.665,358,1217,394,209,168,399,547
Toledo,34,23,11,2.65,-1.75,9,6,2687,2532,1360,1953,0.467,815,0.401,725,0.737,319,1253,528,127,135,395,541
Towson,32,18,14,-0.14,-3.14,4,9,2446,2279,1300,1905,0.467,582,0.361,667,0.687,398,1219,381,209,139,405,633
Troy,33,16,17,-1.5,-2.11,4,10,2475,2408,1330,1930,0.439,866,0.337,662,0.736,319,1194,435,165,124,408,570
Tulane,31,14,17,1.21,2.08,3,8,2269,2296,1250,1779,0.45,663,0.35,613,0.713,294,1068,483,156,126,409,557
Tulsa,31,19,12,4.96,2.38,4,7,2277,2197,1255,1730,0.436,710,0.348,720,0.725,346,1177,391,139,68,399,495
UCLA,33,21,12,12.07,6.86,3,7,2679,2507,1350,2014,0.46,813,0.381,715,0.72,335,1283,495,184,131,399,592
Utah State,34,17,17,2.31,2.65,2,12,2489,2466,1365,1904,0.454,870,0.364,627,0.705,290,1131,474,170,68,441,617
Utah Valley,34,23,11,5.08,-1.76,6,9,2657,2310,1365,1919,0.483,692,0.386,725,0.742,351,1297,549,203,140,474,558
Utah,35,23,12,11.4,6.4,6,6,2571,2396,1410,1903,0.46,870,0.37,655,0.759,266,1174,532,180,115,414,567
Valparaiso,32,15,17,0.63,0.93,3,12,2252,2182,1280,1740,0.449,623,0.342,674,0.708,294,1115,399,235,105,469,679
Vanderbilt,32,12,20,8.52,10.14,1,10,2316,2368,1290,1775,0.437,819,0.353,642,0.743,311,1081,392,154,108,379,632
Vermont,35,27,8,4.89,-3.17,12,5,2587,2277,1400,1803,0.488,649,0.401,755,0.754,269,1160,468,134,89,388,528
Villanova,40,36,4,26.64,10.24,9,3,3463,2807,1615,2440,0.5,1158,0.401,718,0.779,380,1436,655,259,162,426,645
Virginia Commonwealth,33,18,15,3.55,2.42,5,5,2507,2470,1335,2013,0.458,778,0.352,566,0.691,342,1203,510,210,93,446,561
VMI,30,9,21,-15.43,-4.25,3,12,1954,2214,1200,1729,0.398,704,0.32,477,0.74,283,1028,356,221,87,442,539
Virginia Tech,33,21,12,14.35,6.72,6,5,2634,2382,1335,1865,0.499,745,0.388,681,0.709,244,1078,542,191,74,395,523
Virginia,34,31,3,22.21,9.07,10,1,2283,1836,1365,1844,0.46,645,0.383,451,0.754,282,1099,458,232,124,290,480
Wagner,33,23,10,-3.19,-6.9,7,9,2448,2256,1325,1963,0.427,769,0.35,705,0.711,446,1290,440,218,129,451,729
Wake Forest,31,11,20,7.76,8.79,3,8,2273,2305,1240,1826,0.439,644,0.374,583,0.738,337,1108,432,181,109,407,604
Washington State,31,12,19,0.67,5.22,1,10,2270,2411,1250,1795,0.446,905,0.377,444,0.736,258,1007,450,164,71,421,532
Washington,34,21,13,7.65,6.06,4,6,2535,2481,1375,1963,0.458,664,0.346,720,0.701,328,1114,398,274,177,453,640
Weber State,31,20,11,0.01,-2.88,7,4,2434,2195,1255,1722,0.491,672,0.417,603,0.766,182,1039,430,161,120,368,551
West Virginia,37,26,11,19.88,9.36,5,5,2964,2575,1485,2374,0.436,911,0.353,744,0.766,513,1401,561,301,192,420,798
Western Carolina,32,13,19,-11.9,-1.63,3,12,2190,2419,1280,1885,0.411,703,0.333,597,0.683,371,1101,427,254,92,476,561
Western Illinois,28,12,16,-11.07,-2.28,1,10,2012,2009,1135,1607,0.466,527,0.357,456,0.715,196,990,308,136,109,350,432
Western Kentucky,38,27,11,11.08,3.65,9,5,2979,2674,1525,2183,0.492,587,0.351,869,0.717,369,1356,515,271,140,441,569
Western Michigan,32,17,15,-2.22,-1.99,6,7,2402,2349,1285,1926,0.439,678,0.344,659,0.727,356,1130,405,209,100,342,559
Wichita State,33,25,8,16.58,5.46,9,2,2731,2364,1330,2009,0.476,787,0.381,700,0.739,404,1336,610,154,127,385,580
William & Mary,31,19,12,-1.36,-1.32,7,8,2636,2531,1255,1782,0.511,777,0.434,591,0.81,209,1020,548,174,125,382,530
Winthrop,31,19,12,-1.63,-5.84,7,9,2464,2219,1240,1803,0.476,792,0.374,623,0.722,283,1125,455,211,144,429,539
Wisconsin,33,15,18,10.38,9.5,3,8,2206,2177,1325,1770,0.448,644,0.335,578,0.699,299,1010,411,180,117,353,543
Wofford,34,21,13,-0.96,-2.45,7,7,2578,2405,1360,1906,0.473,865,0.413,538,0.779,272,1099,522,220,88,413,585
Wright State,35,25,10,0.58,-3.64,8,7,2500,2307,1410,2019,0.432,703,0.337,723,0.715,354,1266,460,231,77,459,558
Wyoming,33,20,13,4.26,3.54,5,7,2633,2597,1365,1959,0.446,881,0.345,790,0.738,231,1148,518,215,130,449,654
Xavier,35,29,6,19.08,9.45,9,2,2953,2616,1415,2055,0.492,736,0.372,843,0.779,340,1342,579,205,109,441,602
Yale,31,16,15,-4.19,-2.83,7,11,2312,2288,1250,1797,0.462,759,0.332,551,0.722,275,1052,507,204,95,407,541
Youngstown State,32,8,24,-13.66,-2.56,2,13,2410,2647,1290,2110,0.427,712,0.33,583,0.636,457,1159,445,266,126,460,672
